  , trigger                                                                                                                                                                                                                                                                                                                         , replace         , word, propagate_case, trigger=1
61, parantes                                                                                                                                                                                                                                                                                                                        , parentes        , True, True          , True
62, poc                                                                                                                                                                                                                                                                                                                             , Proof of Concept, True, True          , True
63, provensiel                                                                                                                                                                                                                                                                                                                      , provinsiel      , True, True          , True
64, reflektion                                                                                                                                                                                                                                                                                                                      , refleksion      , True, True          , True
65, selvskab                                                                                                                                                                                                                                                                                                                        , selskab         , True, True          , True
66, seperat                                                                                                                                                                                                                                                                                                                         , separat         , True, True          , True
67, sindsygt                                                                                                                                                                                                                                                                                                                        , sindssygt       , True, True          , True
68, sku                                                                                                                                                                                                                                                                                                                             , sgu             , True, True          , True
69, standart                                                                                                                                                                                                                                                                                                                        , standard        , True, True          , True
70, staniol                                                                                                                                                                                                                                                                                                                         , stanniol        , True, True          , True
71, størrere                                                                                                                                                                                                                                                                                                                        , større          , True, True          , True
72, tastetur                                                                                                                                                                                                                                                                                                                        , tastatur        , True, True          , True
73, teknsiske                                                                                                                                                                                                                                                                                                                       , tekniske        , true, true          , true
74, udemærket                                                                                                                                                                                                                                                                                                                       , udmærket        , True, True          , True
75, ynglingsfilm                                                                                                                                                                                                                                                                                                                    , yndlingsfilm    , True, True          , True
76, åp                                                                                                                                                                                                                                                                                                                              , på              , True, True          , True
77, ærgelig                                                                                                                                                                                                                                                                                                                         , ærgerlig        , True, True          , True
